province,demographic_group,party,percentage
barcelona,buss,abstain,26.15
barcelona,buss,vox,1.67
barcelona,buss,csqp,6.09
barcelona,buss,jxsi,29.26
barcelona,buss,cup,4.54
barcelona,buss,cs,23.99
barcelona,buss,psc,1.81
barcelona,buss,ac,0.1
barcelona,buss,ppc,4.63
barcelona,buss,unio,1.77
barcelona,ind,abstain,21.51
barcelona,ind,vox,0.5
barcelona,ind,csqp,7.28
barcelona,ind,jxsi,21.71
barcelona,ind,cup,6.79
barcelona,ind,cs,16.18
barcelona,ind,psc,16.09
barcelona,ind,ac,0.1
barcelona,ind,ppc,6.37
barcelona,ind,unio,3.47
barcelona,middle,abstain,18.43
barcelona,middle,vox,4.38
barcelona,middle,csqp,11.67
barcelona,middle,jxsi,29.92
barcelona,middle,cup,6.5
barcelona,middle,cs,12.37
barcelona,middle,psc,7.09
barcelona,middle,ac,0.2
barcelona,middle,ppc,8.36
barcelona,middle,unio,1.09
barcelona,retired,abstain,22.15
barcelona,retired,vox,1.94
barcelona,retired,csqp,6.73
barcelona,retired,jxsi,27.84
barcelona,retired,cup,2.15
barcelona,retired,cs,13.84
barcelona,retired,psc,17.31
barcelona,retired,ac,0.2
barcelona,retired,ppc,6.87
barcelona,retired,unio,0.99
barcelona,rural,abstain,13.76
barcelona,rural,vox,0.5
barcelona,rural,csqp,0.96
barcelona,rural,jxsi,49.86
barcelona,rural,cup,11.55
barcelona,rural,cs,10.91
barcelona,rural,psc,3.69
barcelona,rural,ac,0.4
barcelona,rural,ppc,4.47
barcelona,rural,unio,3.91
barcelona,unemployed,abstain,28.01
barcelona,unemployed,vox,0.99
barcelona,unemployed,csqp,13.97
barcelona,unemployed,jxsi,19.7
barcelona,unemployed,cup,2.61
barcelona,unemployed,cs,13.38
barcelona,unemployed,psc,14.92
barcelona,unemployed,ac,0.39
barcelona,unemployed,ppc,5.15
barcelona,unemployed,unio,0.89
barcelona,young,abstain,22.61
barcelona,young,vox,1.04
barcelona,young,csqp,7.21
barcelona,young,jxsi,26.79
barcelona,young,cup,12.13
barcelona,young,cs,14.09
barcelona,young,psc,3.89
barcelona,young,ac,1.87
barcelona,young,ppc,9.33
barcelona,young,unio,1.04
girona,buss,abstain,9.91
girona,buss,vox,0.79
girona,buss,csqp,0.99
girona,buss,jxsi,64.74
girona,buss,cup,6.29
girona,buss,cs,11.86
girona,buss,psc,1.97
girona,buss,ac,0.5
girona,buss,ppc,1.97
girona,buss,unio,0.99
girona,ind,abstain,23.28
girona,ind,vox,0.3
girona,ind,csqp,4.94
girona,ind,jxsi,32.78
girona,ind,cup,10.53
girona,ind,cs,22.09
girona,ind,psc,4.6
girona,ind,ac,0.1
girona,ind,ppc,0.99
girona,ind,unio,0.4
