party,constituency,votes
up,catalunya,848526
erc,catalunya,629294
cdc,catalunya,481839
psoe,catalunya,558033
pp,catalunya,462637
cs,catalunya,378445
vox,catalunya,197
abstention,catalunya,1827546
pp,balears,162863
up,balears,117812
psoe,balears,93279
cs,balears,67612
upyd,balears,1192
abstention,balears,280316
up,euskadi,333730
pnv,euskadi,286215
psoe,euskadi,163628
ehbildu,euskadi,152782
pp,euskadi,147639
cs,euskadi,40326
upyd,euskadi,1496
vox,euskadi,927
abstention,euskadi,558364
pp,galicia,643827
psoe,galicia,345253
up,galicia,344143
cs,galicia,133938
bng,galicia,44902
vox,galicia,1008
upyd,galicia,959
abstention,galicia,685791
pp,navarra,106434
up,navarra,94555
psoe,navarra,57952
ehbildu,navarra,31310
cs,navarra,20343
gbai,navarra,14289
upyd,navarra,577
abstention,navarra,140545
pp,valencia,917398
up,valencia,655895
psoe,valencia,537983
cs,valencia,386826
vox,valencia,6055
upyd,valencia,5521
abstention,valencia,912648
pp,rest,5465387
psoe,rest,3668581
up,rest,2655073
cs,rest,2096279
cc,rest,80748
upyd,rest,40537
vox,rest,38594
abstention,rest,6030745
