party,constituency,votes
erc,catalunya,1015355
psoe,catalunya,958343
up,catalunya,614738
jxcat,catalunya,497638
cs,catalunya,477096
pp,catalunya,200209
vox,catalunya,148481
fr,catalunya,113008
abstention,catalunya,1198965
psoe,balears,136358
up,balears,92241
cs,balears,90214
pp,balears,87143
vox,balears,58382
mes,balears,25384
abstention,balears,250933
pnv,euskadi,394627
psoe,euskadi,252760
up,euskadi,223245
ehbildu,euskadi,212200
pp,euskadi,94518
cs,euskadi,39963
vox,euskadi,28062
abstention,euskadi,437595
psoe,galicia,524844
pp,galicia,447562
up,galicia,254472
cs,galicia,182678
bng,galicia,93810
vox,galicia,86126
abstention,galicia,583263
nsuma,navarra,107124
psoe,navarra,94094
up,navarra,68168
ehbildu,navarra,46640
gbai,navarra,22150
vox,navarra,17660
abstention,navarra,114683
psoe,valencia,743880
pp,valencia,497669
cs,valencia,481589
up,valencia,381085
vox,valencia,321989
compromis,valencia,172751
abstention,valencia,839326
psoe,rest,4770476
pp,rest,3031578
cs,rest,2865060
up,rest,2116706
vox,rest,2016473
cc,rest,137196
prc,rest,52197
te,rest,41296
abstention,rest,5012388
