party,constituency,votes
erc,catalunya,874859
psoe,catalunya,794666
jxcat,catalunya,530225
up,catalunya,549173
pp,catalunya,287714
cup,catalunya,246971
vox,catalunya,243640
cs,catalunya,217935
mpais,catalunya,41826
abstention,catalunya,1718446
psoe,balears,115567
pp,balears,103722
up,balears,82225
vox,balears,77520
cs,balears,33451
mes,balears,18295
mpais,balears,10652
abstention,balears,348578
pnv,euskadi,379002
psoe,euskadi,227396
ehbildu,euskadi,221073
up,euskadi,182674
pp,euskadi,104746
vox,euskadi,28979
cs,euskadi,13279
mpais,euskadi,8542
abstention,euskadi,601832
pp,galicia,475198
psoe,galicia,465026
up,galicia,188231
bng,galicia,120456
vox,galicia,116381
cs,galicia,64661
mpais,galicia,22826
abstention,galicia,1191332
nsuma,navarra,99078
psoe,navarra,83734
ehbildu,navarra,56548
up,navarra,55498
vox,navarra,19440
gbai,navarra,12709
abstention,navarra,174830
psoe,valencia,700159
pp,valencia,584415
vox,valencia,468134
up,valencia,339596
cs,valencia,196265
abstention,valencia,1107681
psoe,rest,4405651
pp,rest,3492711
vox,rest,2702885
up,rest,1721967
cs,rest,1124727
mpais,rest,475264
cc,rest,124289
prc,rest,68830
te,rest,48624
abstention,rest,7350965
