level,area,party,seats,percentage
province,barcelona,jxcat,17,20.0
province,barcelona,erc,19,22.35294117647059
province,barcelona,cup,4,4.705882352941177
province,barcelona,cecp,7,8.235294117647058
province,barcelona,psc,13,15.294117647058824
province,barcelona,cs,22,25.882352941176475
province,barcelona,ppc,3,3.5294117647058822
province,girona,jxcat,7,41.17647058823529
province,girona,erc,4,23.52941176470588
province,girona,cup,1,5.88235294117647
province,girona,cecp,1,5.88235294117647
province,girona,psc,1,5.88235294117647
province,girona,cs,3,17.647058823529413
province,lleida,jxcat,6,40.0
province,lleida,erc,5,33.33333333333333
province,lleida,cup,0,0.0
province,lleida,cecp,0,0.0
province,lleida,psc,1,6.666666666666667
province,lleida,cs,3,20.0
province,lleida,ppc,0,0.0
province,tarragona,jxcat,4,22.22222222222222
province,tarragona,erc,4,22.22222222222222
province,tarragona,cup,0,0.0
province,tarragona,cecp,1,5.555555555555555
province,tarragona,psc,3,16.666666666666664
province,tarragona,cs,5,27.77777777777778
province,tarragona,ppc,1,5.555555555555555
overall,catalonia,cs,33,24.444444444444443
overall,catalonia,erc,32,23.703703703703706
overall,catalonia,jxcat,34,25.185185185185183
overall,catalonia,psc,18,13.333333333333334
overall,catalonia,cecp,9,6.666666666666667
overall,catalonia,cup,5,3.7037037037037033
overall,catalonia,ppc,4,2.9629629629629632
