party,constituency,votes,seats
pp,balears,140542,3
podemos,balears,111416,2
psoe,balears,88542,2
cs,balears,71446,1
podemos,catalunya,927940,13
erc,catalunya,599289,8
psoe,catalunya,589021,8
dl,catalunya,565501,7
cs,catalunya,489503,6
pp,catalunya,417286,5
pnv,euskadi,301585,5
podemos,euskadi,316441,5
psoe,euskadi,161466,3
ehbildu,euskadi,183611,3
pp,euskadi,141556,2
pp,galicia,605178,9
podemos,galicia,408370,6
psoe,galicia,347942,5
cs,galicia,147910,2
nos,galicia,70464,1
pp,navarra,101901,2
podemos,navarra,80961,2
psoe,navarra,54700,1
pp,rest,4972012,90
psoe,rest,3758525,58
podemos,rest,2673134,39
cs,rest,2293329,27
iu,rest,749750,1
cc,rest,83320,1
pp,valencia,837055,11
podemos,valencia,671071,9
psoe,valencia,530497,7
cs,valencia,423556,5
iu,valencia,112893,1
