party,constituency,votes,seats
psoe,balears,115567,2
pp,balears,103722,2
up,balears,82225,2
vox,balears,77520,2
erc,catalunya,874859,12
psoe,catalunya,794666,10
jxcat,catalunya,530225,7
up,catalunya,549173,7
pp,catalunya,287714,3
cup,catalunya,246971,3
vox,catalunya,243640,3
cs,catalunya,217935,2
pnv,euskadi,379002,6
psoe,euskadi,227396,4
ehbildu,euskadi,221073,4
up,euskadi,182674,3
pp,euskadi,104746,1
pp,galicia,475198,8
psoe,galicia,465026,7
up,galicia,188231,3
bng,galicia,120456,2
vox,galicia,116381,2
cs,galicia,64661,1
nsuma,navarra,99078,2
psoe,navarra,83734,1
ehbildu,navarra,56548,1
up,navarra,55498,1
psoe,rest,4405651,82
pp,rest,3492711,60
vox,rest,2702885,46
up,rest,1721967,17
cs,rest,1124727,7
mpais,rest,475264,1
cc,rest,124289,1
prc,rest,68830,1
te,rest,48624,1
psoe,valencia,700159,10
pp,valencia,584415,8
vox,valencia,468134,7
up,valencia,339596,5
cs,valencia,196265,3
