month,year,cal_month,gobierno,generalitat,gdp_growth,gdp_target,unemployment,public_debt,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,welfare_index,fla_active,fla_escalated,art155_ever,podemos_channeling
1,2012,8,PP_abs,CiU,-3.085,-3.544,22.577,26.28,-2.281,38.81,66.11,27.97,72.88,71.55,True,False,False,0.0
2,2012,9,PP_abs,CiU,-3.033,-3.667,22.653,26.56,-2.296,35.94,75.98,30.12,68.06,71.09,True,False,False,0.0
3,2012,10,PP_abs,CiU,-3.698,-3.681,22.745,26.85,-2.32,36.02,76.24,29.62,69.04,70.3,True,False,False,0.0
4,2012,11,PP_abs,CiU,-3.758,-3.689,22.839,27.14,-2.281,35.6,76.46,29.22,69.13,69.44,True,False,False,0.0
5,2012,12,PP_abs,CiU,-3.911,-3.703,22.937,27.44,-2.278,36.61,75.6,28.85,69.6,68.73,True,False,False,0.0
6,2012,1,PP_abs,CiU,-4.189,-3.682,23.042,27.73,-2.225,35.71,73.91,29.21,69.55,67.76,True,False,False,0.0
7,2012,2,PP_abs,CiU,-4.076,-3.671,23.144,28.03,-2.224,35.18,71.09,29.69,69.66,66.88,True,False,False,0.0
8,2012,3,PP_abs,CiU,-4.447,-3.639,23.255,28.32,-2.159,34.67,68.85,30.17,70.26,66.21,True,False,False,0.0
9,2012,4,PP_abs,CiU,-4.449,-3.614,23.366,28.61,-2.158,35.16,66.19,30.15,69.22,65.69,True,False,False,0.0
10,2012,5,PP_abs,CiU,-4.539,-3.575,23.48,28.9,-2.045,35.02,65.4,30.36,68.61,65.38,True,False,False,0.0
11,2012,6,PP_abs,CiU,-4.165,-3.565,23.584,29.16,-1.86,35.85,63.1,30.74,68.62,64.78,True,False,False,0.0
12,2012,7,PP_abs,CiU,-4.068,-3.52,23.686,29.43,-1.819,35.62,63.96,31.4,68.18,63.8,True,False,False,0.0
13,2013,8,PP_abs,CiU,-3.667,-1.826,23.777,29.68,-1.837,35.72,65.77,31.66,68.26,63.41,True,False,False,0.0
14,2013,9,PP_abs,CiU,-2.907,-1.92,23.85,29.93,-1.874,33.89,73.05,33.34,67.04,62.77,True,False,False,0.0
15,2013,10,PP_abs,CiU,-2.634,-1.938,23.916,30.18,-1.865,33.53,74.67,33.08,67.0,61.91,True,False,False,0.0
16,2013,11,PP_abs,CiU,-2.334,-1.966,23.974,30.4,-1.644,33.59,75.33,32.37,67.07,61.38,True,False,False,0.0
17,2013,12,PP_abs,CiU,-2.218,-1.982,24.03,30.6,-1.364,33.67,74.48,31.96,68.1,60.77,True,False,False,0.0
18,2013,1,PP_abs,CiU,-1.94,-1.975,24.078,30.78,-1.252,34.41,71.22,32.26,69.93,60.02,True,False,False,0.0
19,2013,2,PP_abs,CiU,-2.212,-1.921,24.133,30.97,-1.276,34.01,66.86,32.35,69.11,59.47,True,False,False,0.0
20,2013,3,PP_abs,CiU,-1.985,-1.874,24.183,31.16,-1.335,33.44,63.11,32.73,68.19,59.22,True,False,False,0.0
21,2013,4,PP_abs,CiU,-1.879,-1.833,24.23,31.34,-1.171,33.45,60.31,33.1,67.32,58.33,True,False,False,0.0
22,2013,5,PP_abs,CiU,-2.225,-1.795,24.286,31.52,-1.086,33.5,58.76,32.89,67.67,57.82,True,False,False,0.0
23,2013,6,PP_abs,CiU,-2.018,-1.778,24.336,31.69,-1.125,33.68,57.69,33.21,67.05,57.63,True,False,False,0.0
24,2013,7,PP_abs,CiU,-1.725,-1.758,24.379,31.85,-0.976,34.16,59.28,33.6,68.77,56.9,True,False,False,0.0
25,2014,8,PP_abs,CiU,-0.979,1.182,24.404,32.01,-1.017,33.57,58.14,33.8,64.81,56.16,True,False,False,1.0
26,2014,9,PP_abs,CiU,-0.195,0.994,24.408,32.15,-0.982,30.31,73.95,36.61,62.03,55.9,True,False,False,1.0
27,2014,10,PP_abs,CiU,-0.178,0.937,24.413,32.28,-0.9,30.64,76.54,36.64,61.3,55.3,True,False,False,1.0
28,2014,11,PP_abs,CiU,-0.322,0.824,24.421,32.41,-0.911,25.67,82.35,41.77,59.67,54.92,True,False,False,1.0
29,2014,12,PP_abs,CiU,-0.247,0.828,24.427,32.54,-0.862,24.88,81.54,42.05,60.6,54.38,True,False,False,0.97
30,2014,1,PP_abs,CDC_ERC_15,0.489,1.329,24.39,32.67,-0.975,24.89,79.11,42.32,63.65,54.05,True,False,False,0.94
31,2014,2,PP_abs,CDC_ERC_15,0.893,1.362,24.323,32.78,-0.837,24.98,74.91,42.68,62.89,54.1,True,False,False,0.91
32,2014,3,PP_abs,CDC_ERC_15,0.974,1.418,24.249,32.89,-0.861,26.07,69.3,43.02,61.47,53.97,True,False,False,0.92
33,2014,4,PP_abs,CDC_ERC_15,0.991,1.506,24.174,32.99,-0.728,25.13,65.17,43.35,60.8,53.84,True,False,False,0.93
34,2014,5,PP_abs,CDC_ERC_15,1.207,1.545,24.083,33.09,-0.699,26.11,63.4,42.6,60.89,53.57,True,False,False,0.94
35,2014,6,PP_abs,CDC_ERC_15,1.124,1.572,23.998,33.17,-0.589,25.74,63.35,43.01,59.87,53.27,True,False,False,0.91
36,2014,7,PP_abs,CDC_ERC_15,1.155,1.572,23.91,33.26,-0.612,26.5,64.99,42.56,60.58,53.0,True,False,False,0.92
37,2015,8,PP_abs,CDC_ERC_15,2.339,3.258,23.733,33.32,-0.483,25.91,68.02,42.34,60.88,52.57,True,False,False,0.89
38,2015,9,PP_abs,CDC_ERC_15,2.763,3.08,23.525,33.38,-0.551,18.17,78.43,47.3,55.95,52.43,True,False,False,0.9
39,2015,10,PP_abs,CDC_ERC_15,3.295,3.029,23.275,33.45,-0.668,17.95,81.11,46.78,56.96,52.22,True,False,False,0.91
40,2015,11,PP_abs,CDC_ERC_15,3.211,2.987,23.033,33.52,-0.741,17.77,81.17,46.87,56.69,52.19,True,False,False,0.88
41,2015,12,PP_abs,CDC_ERC_15,3.18,2.985,22.792,33.58,-0.649,16.72,81.64,46.15,56.6,52.38,True,False,False,0.85
42,2015,1,PP_care,CDC_ERC_16,3.594,4.07,22.603,33.62,-0.459,17.22,78.76,45.98,56.95,52.09,True,False,False,0.82
43,2015,2,PP_care,CDC_ERC_16,3.884,4.095,22.399,33.66,-0.516,17.02,75.79,46.29,55.94,52.1,True,False,False,0.79
44,2015,3,PP_care,CDC_ERC_16,3.847,4.131,22.196,33.69,-0.43,16.63,72.04,46.86,55.14,52.05,True,False,False,0.8
45,2015,4,PP_care,CDC_ERC_16,4.143,4.177,21.979,33.72,-0.438,16.91,69.32,47.24,55.86,51.84,True,False,False,0.81
46,2015,5,PP_care,CDC_ERC_16,4.221,4.219,21.757,33.75,-0.357,16.72,67.12,47.34,55.98,51.62,True,False,False,0.78
47,2015,6,PP_care,CDC_ERC_16,4.048,4.243,21.544,33.75,-0.136,15.61,67.41,47.72,56.11,51.25,True,False,False,0.75
48,2015,7,PP_care,CDC_ERC_16,4.325,4.228,21.316,33.75,-0.125,15.28,67.89,48.17,55.63,50.91,True,False,False,0.72
49,2016,8,PP_care,CDC_ERC_16,3.701,2.923,21.122,33.77,-0.145,14.56,68.93,48.33,55.47,50.82,True,False,False,0.69
50,2016,9,PP_care,CDC_ERC_16,3.323,2.856,20.947,33.79,-0.181,12.31,72.74,48.6,54.45,50.69,True,False,False,0.7
51,2016,10,PP_min,CDC_ERC_16,3.214,2.625,20.768,33.8,-0.019,11.77,74.17,48.26,54.16,50.69,True,False,False,0.71
52,2016,11,PP_min,CDC_ERC_16,2.96,2.596,20.604,33.81,0.028,11.63,75.72,48.27,54.22,50.35,True,False,False,0.68
53,2016,12,PP_min,CDC_ERC_16,3.046,2.575,20.435,33.82,0.002,11.19,74.95,48.03,53.98,50.22,True,False,False,0.65
54,2016,1,PP_min,CDC_ERC_16,3.053,2.575,20.265,33.82,0.162,12.03,72.36,48.43,53.88,50.24,True,False,False,0.62
55,2016,2,PP_min,CDC_ERC_16,3.546,2.623,20.069,33.81,0.096,11.22,68.0,48.28,53.02,49.9,True,False,False,0.59
56,2016,3,PP_min,CDC_ERC_16,3.34,2.662,19.883,33.8,0.145,11.34,64.54,47.98,53.17,50.1,True,False,False,0.6
57,2016,4,PP_min,CDC_ERC_16,2.792,2.701,19.728,33.79,0.342,10.61,60.73,48.59,52.82,50.16,True,False,False,0.57
58,2016,5,PP_min,CDC_ERC_16,3.125,2.743,19.555,33.78,0.197,10.16,59.21,48.47,53.08,49.87,True,False,False,0.54
59,2016,6,PP_min,CDC_ERC_16,2.722,2.753,19.404,33.78,0.198,10.02,59.46,48.08,51.59,49.72,True,False,False,0.51
60,2016,7,PP_min,CDC_ERC_16,3.086,2.744,19.232,33.77,0.245,10.5,60.53,48.61,51.43,49.39,True,False,False,0.52
61,2017,8,PP_min,CDC_ERC_16,3.595,2.844,19.033,33.74,0.436,10.63,63.71,49.22,50.44,49.17,True,False,False,0.49
62,2017,9,PP_min,CDC_ERC_16,3.522,2.648,18.837,33.7,0.556,5.47,76.95,52.17,48.42,48.65,True,False,False,0.5
63,2017,10,PP_min,ART155,3.138,1.512,18.724,33.65,0.601,5.0,91.43,56.35,56.61,45.4,True,False,True,0.47
64,2017,11,PP_min,ART155,1.692,1.345,18.664,33.65,0.431,5.0,95.0,46.69,60.61,40.8,True,False,True,0.44
65,2017,12,PP_min,ART155,1.433,1.403,18.612,33.65,0.362,5.57,92.8,49.09,57.1,40.2,True,False,True,0.45
66,2017,1,PP_min,ART155,1.205,1.419,18.569,33.66,0.388,5.0,86.38,48.08,57.06,39.4,True,False,True,0.46
67,2017,2,PP_min,ART155,1.117,1.475,18.529,33.66,0.446,5.0,80.16,46.58,56.59,38.79,True,False,True,0.43
68,2017,3,PP_min,ART155,1.122,1.532,18.488,33.66,0.455,5.0,74.22,45.44,56.38,37.74,True,False,True,0.4
69,2017,4,PP_min,ART155,1.459,1.56,18.436,33.65,0.523,5.0,70.32,43.26,55.11,37.76,True,False,True,0.37
70,2017,5,PP_min,JxCat,1.802,2.48,18.33,33.64,0.464,5.0,67.17,43.99,55.62,37.39,True,False,True,0.38
71,2017,6,PSOE_min,JxCat,2.198,3.227,18.18,33.62,0.623,5.0,67.71,44.27,54.14,37.33,True,False,True,0.35
72,2017,7,PSOE_min,JxCat,2.432,3.224,18.015,33.59,0.547,5.64,70.24,43.77,53.98,36.97,True,False,True,0.36
73,2018,8,PSOE_min,JxCat,2.52,3.397,17.843,33.56,0.51,5.2,70.94,43.5,53.58,36.77,True,False,True,0.33
74,2018,9,PSOE_min,JxCat,2.749,3.388,17.656,33.54,0.497,5.0,70.37,42.76,54.12,36.52,True,False,True,0.3
