month,year,cal_month,gobierno,generalitat,gdp_growth,gdp_target,unemployment,public_debt,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,welfare_index,fla_active,fla_escalated,art155_ever,podemos_channeling
1,2012,8,PP_abs,CiU,-3.085,-3.544,22.577,26.28,-2.281,38.81,66.11,27.97,72.88,71.55,True,False,False,0.0
2,2012,9,PP_abs,CiU,-3.033,-3.667,22.653,26.56,-2.296,35.94,75.98,30.12,68.06,71.09,True,False,False,0.0
3,2012,10,PP_abs,CiU,-3.698,-3.681,22.745,26.85,-2.32,36.02,76.24,29.62,69.04,70.3,True,False,False,0.0
4,2012,11,PP_abs,CiU,-3.758,-3.689,22.839,27.14,-2.281,35.6,76.46,29.22,69.13,69.44,True,False,False,0.0
5,2012,12,PP_abs,CiU,-3.911,-3.703,22.937,27.44,-2.278,36.61,75.6,28.85,69.6,68.73,True,False,False,0.0
6,2012,1,PP_abs,CiU,-4.189,-3.682,23.042,27.73,-2.225,35.71,73.91,29.21,69.55,67.76,True,False,False,0.0
7,2012,2,PP_abs,CiU,-4.076,-3.671,23.144,28.03,-2.224,35.18,71.09,29.69,69.66,66.88,True,False,False,0.0
8,2012,3,PP_abs,CiU,-4.447,-3.639,23.255,28.32,-2.159,34.67,68.85,30.17,70.26,66.21,True,False,False,0.0
9,2012,4,PP_abs,CiU,-4.449,-3.614,23.366,28.61,-2.158,35.16,66.19,30.15,69.22,65.69,True,False,False,0.0
10,2012,5,PP_abs,CiU,-4.539,-3.575,23.48,28.9,-2.045,35.02,65.4,30.36,68.61,65.38,True,False,False,0.0
11,2012,6,PP_abs,CiU,-4.165,-3.565,23.584,29.16,-1.86,35.85,63.1,30.74,68.62,64.78,True,False,False,0.0
12,2012,7,PP_abs,CiU,-4.068,-3.52,23.686,29.43,-1.819,35.62,63.96,31.4,68.18,63.8,True,False,False,0.0
13,2013,8,PP_abs,CiU,-3.667,-1.826,23.777,29.68,-1.837,35.72,65.77,31.66,68.26,63.41,True,False,False,0.0
14,2013,9,PP_abs,CiU,-2.907,-1.92,23.85,29.93,-1.874,33.89,73.05,33.34,67.04,62.77,True,False,False,0.0
15,2013,10,PP_abs,CiU,-2.634,-1.938,23.916,30.18,-1.865,33.53,74.67,33.08,67.0,61.91,True,False,False,0.0
16,2013,11,PP_abs,CiU,-2.334,-1.966,23.974,30.4,-1.644,33.59,75.33,32.37,67.07,61.38,True,False,False,0.0
17,2013,12,PP_abs,CiU,-2.218,-1.982,24.03,30.6,-1.364,33.67,74.48,31.96,68.1,60.77,True,False,False,0.0
18,2013,1,PP_abs,CiU,-1.94,-1.975,24.078,30.78,-1.252,34.41,71.22,32.26,69.93,60.02,True,False,False,0.0
19,2013,2,PP_abs,CiU,-2.212,-1.921,24.133,30.97,-1.276,34.01,66.86,32.35,69.11,59.47,True,False,False,0.0
20,2013,3,PP_abs,CiU,-1.985,-1.874,24.183,31.16,-1.335,33.44,63.11,32.73,68.19,59.22,True,False,False,0.0
21,2013,4,PP_abs,CiU,-1.879,-1.833,24.23,31.34,-1.171,33.45,60.31,33.1,67.32,58.33,True,False,False,0.0
22,2013,5,PP_abs,CiU,-2.225,-1.795,24.286,31.52,-1.086,33.5,58.76,32.89,67.67,57.82,True,False,False,0.0
23,2013,6,PP_abs,CiU,-2.018,-1.778,24.336,31.69,-1.125,33.68,57.69,33.21,67.05,57.63,True,False,False,0.0
24,2013,7,PP_abs,CiU,-1.725,-1.758,24.379,31.85,-0.976,34.16,59.28,33.6,68.77,56.9,True,False,False,0.0
25,2014,8,PP_abs,CiU,-0.979,1.182,24.404,32.01,-1.017,33.57,58.14,33.8,64.81,56.16,True,False,False,1.0
26,2014,9,PP_abs,CiU,-0.195,0.994,24.408,32.15,-0.982,30.31,73.95,36.61,62.03,55.9,True,False,False,1.0
27,2014,10,PP_abs,CiU,-0.178,0.937,24.413,32.28,-0.9,30.64,76.54,36.64,61.3,55.3,True,False,False,1.0
28,2014,11,PP_abs,CiU,-0.322,0.824,24.421,32.41,-0.911,25.67,82.35,41.77,59.67,54.92,True,False,False,1.0
29,2014,12,PP_abs,CiU,-0.247,0.828,24.427,32.54,-0.862,24.88,81.54,42.05,60.6,54.38,True,False,False,0.97
30,2014,1,PP_abs,CDC_ERC_15,0.489,1.329,24.39,32.67,-0.975,24.89,79.11,42.32,63.65,54.05,True,False,False,0.94
31,2014,2,PP_abs,CDC_ERC_15,0.893,1.362,24.323,32.78,-0.837,24.98,74.91,42.68,62.89,54.1,True,False,False,0.91
32,2014,3,PP_abs,CDC_ERC_15,0.974,1.418,24.249,32.89,-0.861,26.07,69.3,43.02,61.47,53.97,True,False,False,0.92
33,2014,4,PP_abs,CDC_ERC_15,0.991,1.506,24.174,32.99,-0.728,25.13,65.17,43.35,60.8,53.84,True,False,False,0.93
34,2014,5,PP_abs,CDC_ERC_15,1.207,1.545,24.083,33.09,-0.699,26.11,63.4,42.6,60.89,53.57,True,False,False,0.94
35,2014,6,PP_abs,CDC_ERC_15,1.124,1.572,23.998,33.17,-0.589,25.74,63.35,43.01,59.87,53.27,True,False,False,0.91
36,2014,7,PP_abs,CDC_ERC_15,1.155,1.572,23.91,33.26,-0.612,26.5,64.99,42.56,60.58,53.0,True,False,False,0.92
37,2015,8,PP_abs,CDC_ERC_15,2.339,3.258,23.733,33.32,-0.483,25.91,68.02,42.34,60.88,52.57,True,False,False,0.89
38,2015,9,PP_abs,CDC_ERC_15,2.763,3.08,23.525,33.38,-0.551,18.17,78.43,47.3,55.95,52.43,True,False,False,0.9
39,2015,10,PP_abs,CDC_ERC_15,3.295,3.029,23.275,33.45,-0.668,17.95,81.11,46.78,56.96,52.22,True,False,False,0.91
40,2015,11,PP_abs,CDC_ERC_15,3.211,2.987,23.033,33.52,-0.741,17.77,81.17,46.87,56.69,52.19,True,False,False,0.88
41,2015,12,PP_abs,CDC_ERC_15,3.18,2.985,22.792,33.58,-0.649,16.72,81.64,46.15,56.6,52.38,True,False,False,0.85
42,2015,1,PSOE_min,CDC_ERC_16,3.734,4.57,22.552,33.62,-0.462,17.68,78.76,45.98,56.58,52.09,True,False,False,0.82
43,2015,2,PSOE_min,CDC_ERC_16,4.127,4.602,22.287,33.65,-0.522,17.94,75.79,46.29,55.22,52.1,True,False,False,0.79
44,2015,3,PSOE_min,CDC_ERC_16,4.166,4.645,22.019,33.68,-0.438,18.01,72.04,46.86,54.06,52.06,True,False,False,0.8
45,2015,4,PSOE_min,CDC_ERC_16,4.518,4.698,21.729,33.71,-0.449,18.75,69.32,47.24,54.44,51.85,True,False,False,0.81
46,2015,5,PSOE_min,CDC_ERC_16,4.638,4.746,21.43,33.73,-0.372,19.02,67.12,47.34,54.23,51.63,True,False,False,0.78
47,2015,6,PSOE_min,CDC_ERC_16,4.499,4.778,21.141,33.73,-0.153,18.37,67.41,47.72,54.03,51.27,True,False,False,0.75
48,2015,7,PSOE_min,CDC_ERC_16,4.801,4.769,20.833,33.72,-0.145,18.5,67.89,48.17,53.22,50.93,True,False,False,0.72
49,2016,8,PSOE_min,CDC_ERC_16,4.197,3.471,20.563,33.73,-0.168,18.24,68.93,48.33,52.72,50.84,True,False,False,0.73
50,2016,9,PSOE_min,CDC_ERC_16,3.835,3.411,20.316,33.75,-0.206,16.45,72.74,48.6,51.37,50.72,True,False,False,0.74
51,2016,10,PSOE_min,CDC_ERC_16,3.797,3.387,20.072,33.75,-0.05,16.44,74.17,48.26,50.68,50.73,True,False,False,0.75
52,2016,11,PSOE_min,CDC_ERC_16,3.595,3.366,19.841,33.75,-0.009,16.83,75.72,48.27,50.32,50.39,True,False,False,0.76
53,2016,12,PSOE_min,CDC_ERC_16,3.721,3.353,19.602,33.76,-0.04,16.92,74.95,48.03,49.67,50.27,True,False,False,0.73
54,2016,1,PSOE_min,CDC_ERC_16,3.759,3.361,19.36,33.75,0.114,18.29,72.36,48.43,49.13,50.29,True,False,False,0.74
55,2016,2,PSOE_min,CDC_ERC_16,4.277,3.417,19.085,33.74,0.042,18.01,68.0,48.28,47.83,49.96,True,False,False,0.75
56,2016,3,PSOE_min,CDC_ERC_16,4.091,3.464,18.822,33.72,0.086,18.66,64.54,47.98,47.54,50.17,True,False,False,0.76
57,2016,4,PSOE_min,CDC_ERC_16,3.559,3.511,18.594,33.7,0.277,18.46,60.73,48.59,46.76,50.23,True,False,False,0.73
58,2016,5,PSOE_min,CDC_ERC_16,3.906,3.561,18.342,33.69,0.127,18.54,59.21,48.47,46.58,49.94,True,False,False,0.74
59,2016,6,PSOE_min,CDC_ERC_16,3.516,3.579,18.116,33.68,0.122,18.93,59.46,48.08,44.66,49.8,True,False,False,0.71
60,2016,7,PSOE_min,CDC_ERC_16,3.891,3.577,17.866,33.67,0.164,19.94,60.53,48.61,44.08,49.48,True,False,False,0.72
61,2017,8,PSOE_min,CDC_ERC_16,4.41,3.686,17.583,33.63,0.348,20.6,63.71,49.22,42.65,49.27,True,False,False,0.73
62,2017,9,PSOE_min,CDC_ERC_16,4.347,3.497,17.303,33.58,0.463,15.97,76.95,52.17,40.2,48.75,True,False,False,0.74
63,2017,10,PSOE_min,ART155,3.913,2.212,17.141,33.54,0.503,5.0,91.43,56.35,47.98,45.51,True,False,True,0.71
64,2017,11,PSOE_min,ART155,2.437,2.045,17.039,33.53,0.327,5.0,95.0,46.69,51.57,40.91,True,False,True,0.68
65,2017,12,PSOE_min,ART155,2.16,2.103,16.949,33.53,0.252,5.57,92.8,49.09,47.66,40.32,True,False,True,0.69
66,2017,1,PSOE_min,ART155,1.921,2.119,16.87,33.54,0.273,5.0,86.38,48.08,47.24,39.53,True,False,True,0.7
67,2017,2,PSOE_min,ART155,1.827,2.175,16.794,33.54,0.325,5.0,80.16,46.58,46.39,38.92,True,False,True,0.67
68,2017,3,PSOE_min,ART155,1.828,2.232,16.718,33.54,0.328,5.0,74.22,45.44,45.81,37.88,True,False,True,0.68
69,2017,4,PSOE_min,ART155,2.162,2.26,16.628,33.53,0.391,5.0,70.32,43.26,44.14,37.91,True,False,True,0.69
70,2017,5,PSOE_min,JxCat,2.504,3.18,16.457,33.52,0.326,5.0,67.17,43.99,44.28,37.55,True,False,True,0.7
71,2017,6,PSOE_min,JxCat,2.704,3.227,16.273,33.5,0.486,5.0,67.71,44.27,42.86,37.48,True,False,True,0.67
72,2017,7,PSOE_min,JxCat,2.796,3.224,16.083,33.48,0.409,5.64,70.24,43.77,42.76,37.13,True,False,True,0.68
73,2018,8,PSOE_min,JxCat,2.782,3.397,15.893,33.46,0.372,5.2,70.94,43.5,42.43,36.94,True,False,True,0.65
